Comunidades autónomas;Sectores de actividad;Sexo;Periodo;Total
Canarias;Construcción;Mujeres;2022;..
Canarias;Construcción;Mujeres;2021;..
Canarias;Construcción;Mujeres;2020;..
Canarias;Construcción;Mujeres;2019;..
Canarias;Construcción;Mujeres;2018;..
Canarias;Construcción;Mujeres;2017;..
Canarias;Construcción;Mujeres;2016;..
Canarias;Construcción;Mujeres;2015;..
Canarias;Construcción;Mujeres;2014;..
Canarias;Construcción;Mujeres;2013;-18.135,89
Canarias;Construcción;Mujeres;2012;..
Canarias;Construcción;Mujeres;2011;-18.904,19
Canarias;Construcción;Mujeres;2010;..
Canarias;Construcción;Mujeres;2009;-17.873,21
Canarias;Construcción;Mujeres;2008;-15.795,03
Canarias;Construcción;Hombres;2022;-20.077,03
Canarias;Construcción;Hombres;2021;19.862,16
Canarias;Construcción;Hombres;2020;19.012,98
Canarias;Construcción;Hombres;2019;19.277,96
Canarias;Construcción;Hombres;2018;19.125,02
Canarias;Construcción;Hombres;2017;19.420,22
Canarias;Construcción;Hombres;2016;19.277,94
Canarias;Construcción;Hombres;2015;19.716,65
Canarias;Construcción;Hombres;2014;18.486,64
Canarias;Construcción;Hombres;2013;18.971,64
Canarias;Construcción;Hombres;2012;18.365,78
Canarias;Construcción;Hombres;2011;18.566,8
Canarias;Construcción;Hombres;2010;18.699,51
Canarias;Construcción;Hombres;2009;17.913,02
Canarias;Construcción;Hombres;2008;17.311,56
Canarias;Servicios;Ambos sexos;2022;23.218,58
Canarias;Servicios;Ambos sexos;2021;22.564,94
Canarias;Servicios;Ambos sexos;2020;21.712,11
Canarias;Servicios;Ambos sexos;2019;20.821,89
Canarias;Servicios;Ambos sexos;2018;20.744,66
Canarias;Servicios;Ambos sexos;2017;20.087,74
Canarias;Servicios;Ambos sexos;2016;19.602,29
Canarias;Servicios;Ambos sexos;2015;19.652,93
Canarias;Servicios;Ambos sexos;2014;19.248,73
Canarias;Servicios;Ambos sexos;2013;18.947,04
Canarias;Servicios;Ambos sexos;2012;19.111,09
Canarias;Servicios;Ambos sexos;2011;19.357,67
Canarias;Servicios;Ambos sexos;2010;19.185,03
Canarias;Servicios;Ambos sexos;2009;18.899,57
Canarias;Servicios;Ambos sexos;2008;18.530,99
Canarias;Servicios;Mujeres;2022;22.626,85
Canarias;Servicios;Mujeres;2021;21.221,18
Canarias;Servicios;Mujeres;2020;20.490,8
Canarias;Servicios;Mujeres;2019;19.528,87
Canarias;Servicios;Mujeres;2018;19.045,52
Canarias;Servicios;Mujeres;2017;18.924,31
Canarias;Servicios;Mujeres;2016;18.153,11
Canarias;Servicios;Mujeres;2015;18.234,96
Canarias;Servicios;Mujeres;2014;18.119,28
Canarias;Servicios;Mujeres;2013;17.582,84
Canarias;Servicios;Mujeres;2012;17.458,89
Canarias;Servicios;Mujeres;2011;17.823,81
Canarias;Servicios;Mujeres;2010;17.576,04
Canarias;Servicios;Mujeres;2009;17.518,24
Canarias;Servicios;Mujeres;2008;17.216,57
Canarias;Servicios;Hombres;2022;23.879,75
Canarias;Servicios;Hombres;2021;23.993,95
Canarias;Servicios;Hombres;2020;23.047,8
Canarias;Servicios;Hombres;2019;22.252,71
Canarias;Servicios;Hombres;2018;22.594,73
Canarias;Servicios;Hombres;2017;21.279,5
Canarias;Servicios;Hombres;2016;21.140,43
Canarias;Servicios;Hombres;2015;21.179,58
Canarias;Servicios;Hombres;2014;20.550,03
Canarias;Servicios;Hombres;2013;20.477,99
Canarias;Servicios;Hombres;2012;21.050,71
Canarias;Servicios;Hombres;2011;21.039,27
Canarias;Servicios;Hombres;2010;21.100,95
Canarias;Servicios;Hombres;2009;20.329,08
Canarias;Servicios;Hombres;2008;19.832,16
Cantabria;Todos los sectores;Ambos sexos;2022;25.291,14
Cantabria;Todos los sectores;Ambos sexos;2021;24.470,7
Cantabria;Todos los sectores;Ambos sexos;2020;23.495,12
Cantabria;Todos los sectores;Ambos sexos;2019;23.347,52
Cantabria;Todos los sectores;Ambos sexos;2018;22.554,83
Cantabria;Todos los sectores;Ambos sexos;2017;22.390,4
Cantabria;Todos los sectores;Ambos sexos;2016;22.063,02
Cantabria;Todos los sectores;Ambos sexos;2015;21.856,81
Cantabria;Todos los sectores;Ambos sexos;2014;21.199,83
Cantabria;Todos los sectores;Ambos sexos;2013;20.052,12
Cantabria;Todos los sectores;Ambos sexos;2012;20.191,51
Cantabria;Todos los sectores;Ambos sexos;2011;20.931,68
Cantabria;Todos los sectores;Ambos sexos;2010;21.156,79
Cantabria;Todos los sectores;Ambos sexos;2009;20.869,86
Cantabria;Todos los sectores;Ambos sexos;2008;20.377,68
Cantabria;Todos los sectores;Mujeres;2022;22.564,11
Cantabria;Todos los sectores;Mujeres;2021;21.532,96
Cantabria;Todos los sectores;Mujeres;2020;20.996,83
Cantabria;Todos los sectores;Mujeres;2019;20.600,16
Cantabria;Todos los sectores;Mujeres;2018;19.630,01
Cantabria;Todos los sectores;Mujeres;2017;19.012,2
Cantabria;Todos los sectores;Mujeres;2016;18.216,84
Cantabria;Todos los sectores;Mujeres;2015;17.955,79
Cantabria;Todos los sectores;Mujeres;2014;17.668,55
Cantabria;Todos los sectores;Mujeres;2013;16.542,34
Cantabria;Todos los sectores;Mujeres;2012;16.771,99
Cantabria;Todos los sectores;Mujeres;2011;17.606,84
Cantabria;Todos los sectores;Mujeres;2010;17.887,59
Cantabria;Todos los sectores;Mujeres;2009;18.210,65
Cantabria;Todos los sectores;Mujeres;2008;17.460,14
Cantabria;Todos los sectores;Hombres;2022;27.820,83
Cantabria;Todos los sectores;Hombres;2021;27.233,75
Cantabria;Todos los sectores;Hombres;2020;25.804,13
Cantabria;Todos los sectores;Hombres;2019;25.795,43
Cantabria;Todos los sectores;Hombres;2018;25.349,01
Cantabria;Todos los sectores;Hombres;2017;25.249,94
Cantabria;Todos los sectores;Hombres;2016;25.210,05
Cantabria;Todos los sectores;Hombres;2015;25.259,83
Cantabria;Todos los sectores;Hombres;2014;24.685,21
Cantabria;Todos los sectores;Hombres;2013;23.224,6
Cantabria;Todos los sectores;Hombres;2012;23.309,9
Cantabria;Todos los sectores;Hombres;2011;23.793,64
Cantabria;Todos los sectores;Hombres;2010;23.924,51
Cantabria;Todos los sectores;Hombres;2009;22.933
Cantabria;Todos los sectores;Hombres;2008;22.539,72
Cantabria;Industria;Ambos sexos;2022;31.471,87
Cantabria;Industria;Ambos sexos;2021;29.756,51
Cantabria;Industria;Ambos sexos;2020;28.353,57
Cantabria;Industria;Ambos sexos;2019;29.062,9
Cantabria;Industria;Ambos sexos;2018;27.924,39
Cantabria;Industria;Ambos sexos;2017;28.138,36
Cantabria;Industria;Ambos sexos;2016;27.868,37
Cantabria;Industria;Ambos sexos;2015;28.057,01
Cantabria;Industria;Ambos sexos;2014;27.567,2
Cantabria;Industria;Ambos sexos;2013;26.707,93
Cantabria;Industria;Ambos sexos;2012;26.020,64
Cantabria;Industria;Ambos sexos;2011;26.028,87
Cantabria;Industria;Ambos sexos;2010;24.635,38
Cantabria;Industria;Ambos sexos;2009;23.908,67
Cantabria;Industria;Ambos sexos;2008;24.115,46
Cantabria;Industria;Mujeres;2022;-25.118,56
Cantabria;Industria;Mujeres;2021;-25.661,26
Cantabria;Industria;Mujeres;2020;-23.882,11
Cantabria;Industria;Mujeres;2019;-24.906,03
Cantabria;Industria;Mujeres;2018;-22.288,27
Cantabria;Industria;Mujeres;2017;-23.918,47
Cantabria;Industria;Mujeres;2016;-23.999,27
Cantabria;Industria;Mujeres;2015;-22.081,33
Cantabria;Industria;Mujeres;2014;-22.694,51
Cantabria;Industria;Mujeres;2013;-22.974,71
Cantabria;Industria;Mujeres;2012;-21.943,2
Cantabria;Industria;Mujeres;2011;-22.503,72
Cantabria;Industria;Mujeres;2010;-20.534,9
Cantabria;Industria;Mujeres;2009;-19.088,24
Cantabria;Industria;Mujeres;2008;-19.515,75
Cantabria;Industria;Hombres;2022;33.433,13
Cantabria;Industria;Hombres;2021;30.839,62
Cantabria;Industria;Hombres;2020;29.630,32
Cantabria;Industria;Hombres;2019;30.053,8
Cantabria;Industria;Hombres;2018;29.410,9
Cantabria;Industria;Hombres;2017;29.077,64
Cantabria;Industria;Hombres;2016;28.685,53
Cantabria;Industria;Hombres;2015;29.354,64
Cantabria;Industria;Hombres;2014;28.905,42
Cantabria;Industria;Hombres;2013;27.623,72
Cantabria;Industria;Hombres;2012;27.154,95
Cantabria;Industria;Hombres;2011;26.925,55
Cantabria;Industria;Hombres;2010;25.564,25
Cantabria;Industria;Hombres;2009;25.042,17
Cantabria;Industria;Hombres;2008;25.154,27
Cantabria;Construcción;Ambos sexos;2022;-23.163,43
Cantabria;Construcción;Ambos sexos;2021;-23.400,94
Cantabria;Construcción;Ambos sexos;2020;-22.058,21
Cantabria;Construcción;Ambos sexos;2019;-21.839,36
Cantabria;Construcción;Ambos sexos;2018;-22.188,72
Cantabria;Construcción;Ambos sexos;2017;-21.352,43
Cantabria;Construcción;Ambos sexos;2016;-21.091,38
Cantabria;Construcción;Ambos sexos;2015;-21.161,72
Cantabria;Construcción;Ambos sexos;2014;-21.649,18
Cantabria;Construcción;Ambos sexos;2013;21.933,56
Cantabria;Construcción;Ambos sexos;2012;-21.409,48
Cantabria;Construcción;Ambos sexos;2011;22.160,77
Cantabria;Construcción;Ambos sexos;2010;21.443,11
Cantabria;Construcción;Ambos sexos;2009;20.927,77
Cantabria;Construcción;Ambos sexos;2008;20.041,01
Cantabria;Construcción;Mujeres;2022;..
Cantabria;Construcción;Mujeres;2021;..
Cantabria;Construcción;Mujeres;2020;..
Cantabria;Construcción;Mujeres;2019;..
Cantabria;Construcción;Mujeres;2018;..
Cantabria;Construcción;Mujeres;2017;..
Cantabria;Construcción;Mujeres;2016;..
Cantabria;Construcción;Mujeres;2015;..
Cantabria;Construcción;Mujeres;2014;..
Cantabria;Construcción;Mujeres;2013;..
Cantabria;Construcción;Mujeres;2012;..
Cantabria;Construcción;Mujeres;2011;..
Cantabria;Construcción;Mujeres;2010;..
Cantabria;Construcción;Mujeres;2009;..
Cantabria;Construcción;Mujeres;2008;..
Cantabria;Construcción;Hombres;2022;-23.558,24
Cantabria;Construcción;Hombres;2021;-23.542,08
Cantabria;Construcción;Hombres;2020;-22.301,12
Cantabria;Construcción;Hombres;2019;-22.086,95
Cantabria;Construcción;Hombres;2018;-22.223,93
Cantabria;Construcción;Hombres;2017;-21.661,24
Cantabria;Construcción;Hombres;2016;-21.358,38
Cantabria;Construcción;Hombres;2015;-21.721,12
Cantabria;Construcción;Hombres;2014;-22.378,86
Cantabria;Construcción;Hombres;2013;-22.688,33
Cantabria;Construcción;Hombres;2012;-21.897,97
Cantabria;Construcción;Hombres;2011;-22.764,12
Cantabria;Construcción;Hombres;2010;-21.787,51
Cantabria;Construcción;Hombres;2009;21.087,61
Cantabria;Construcción;Hombres;2008;20.251,46
Cantabria;Servicios;Ambos sexos;2022;24.036,58
Cantabria;Servicios;Ambos sexos;2021;23.343,28
Cantabria;Servicios;Ambos sexos;2020;22.484,9
Cantabria;Servicios;Ambos sexos;2019;22.107,97
Cantabria;Servicios;Ambos sexos;2018;21.284,88
Cantabria;Servicios;Ambos sexos;2017;21.033,11
Cantabria;Servicios;Ambos sexos;2016;20.638,4
Cantabria;Servicios;Ambos sexos;2015;20.349,32
Cantabria;Servicios;Ambos sexos;2014;19.514,95
Cantabria;Servicios;Ambos sexos;2013;18.384,68
Cantabria;Servicios;Ambos sexos;2012;18.470,48
Cantabria;Servicios;Ambos sexos;2011;19.338,35
Cantabria;Servicios;Ambos sexos;2010;20.117,74
Cantabria;Servicios;Ambos sexos;2009;19.981,54
Cantabria;Servicios;Ambos sexos;2008;19.302,07
Cantabria;Servicios;Mujeres;2022;22.365,54
Cantabria;Servicios;Mujeres;2021;21.174,41
Cantabria;Servicios;Mujeres;2020;20.743,76
Cantabria;Servicios;Mujeres;2019;20.263,89
Cantabria;Servicios;Mujeres;2018;19.377,27
Cantabria;Servicios;Mujeres;2017;18.609,94
Cantabria;Servicios;Mujeres;2016;17.723,05
Cantabria;Servicios;Mujeres;2015;17.634,31
Cantabria;Servicios;Mujeres;2014;17.203,76
Cantabria;Servicios;Mujeres;2013;16.029,79
Cantabria;Servicios;Mujeres;2012;16.238,61
Cantabria;Servicios;Mujeres;2011;17.108,86
Cantabria;Servicios;Mujeres;2010;17.645,28
Cantabria;Servicios;Mujeres;2009;18.068,29
Cantabria;Servicios;Mujeres;2008;17.182,22
Cantabria;Servicios;Hombres;2022;26.267,19
Cantabria;Servicios;Hombres;2021;26.341,08
Cantabria;Servicios;Hombres;2020;24.778,97
Cantabria;Servicios;Hombres;2019;24.528,69
Cantabria;Servicios;Hombres;2018;24.031,07
Cantabria;Servicios;Hombres;2017;24.049,33
Cantabria;Servicios;Hombres;2016;24.147,18
Cantabria;Servicios;Hombres;2015;23.883,56
Cantabria;Servicios;Hombres;2014;22.932,94
Cantabria;Servicios;Hombres;2013;21.472,49
Cantabria;Servicios;Hombres;2012;21.633,04
Cantabria;Servicios;Hombres;2011;22.364,54
Cantabria;Servicios;Hombres;2010;23.658,38
Cantabria;Servicios;Hombres;2009;22.407,79
Cantabria;Servicios;Hombres;2008;21.989,96
Castilla y León;Todos los sectores;Ambos sexos;2022;24.186,89
Castilla y León;Todos los sectores;Ambos sexos;2021;23.564,33
Castilla y León;Todos los sectores;Ambos sexos;2020;22.948,76
Castilla y León;Todos los sectores;Ambos sexos;2019;22.061,44
Castilla y León;Todos los sectores;Ambos sexos;2018;22.034,53
Castilla y León;Todos los sectores;Ambos sexos;2017;21.846,88
Castilla y León;Todos los sectores;Ambos sexos;2016;21.551,57
Castilla y León;Todos los sectores;Ambos sexos;2015;21.296,1
Castilla y León;Todos los sectores;Ambos sexos;2014;20.524,83
Castilla y León;Todos los sectores;Ambos sexos;2013;20.440,56
Castilla y León;Todos los sectores;Ambos sexos;2012;20.569,14
Castilla y León;Todos los sectores;Ambos sexos;2011;21.029,37
Castilla y León;Todos los sectores;Ambos sexos;2010;20.960,87
Castilla y León;Todos los sectores;Ambos sexos;2009;21.037,13
Castilla y León;Todos los sectores;Ambos sexos;2008;20.218,21
Castilla y León;Todos los sectores;Mujeres;2022;21.773,27
Castilla y León;Todos los sectores;Mujeres;2021;20.795,39
Castilla y León;Todos los sectores;Mujeres;2020;20.314,96
Castilla y León;Todos los sectores;Mujeres;2019;19.414,11
Castilla y León;Todos los sectores;Mujeres;2018;19.056,53
Castilla y León;Todos los sectores;Mujeres;2017;18.796,93
Castilla y León;Todos los sectores;Mujeres;2016;18.662,42
Castilla y León;Todos los sectores;Mujeres;2015;18.523,74
Castilla y León;Todos los sectores;Mujeres;2014;17.682,88
Castilla y León;Todos los sectores;Mujeres;2013;17.429,41
Castilla y León;Todos los sectores;Mujeres;2012;17.552,07
Castilla y León;Todos los sectores;Mujeres;2011;18.193,91
Castilla y León;Todos los sectores;Mujeres;2010;17.683,88
Castilla y León;Todos los sectores;Mujeres;2009;18.249,87
Castilla y León;Todos los sectores;Mujeres;2008;17.573,56
Castilla y León;Todos los sectores;Hombres;2022;26.548,08
Castilla y León;Todos los sectores;Hombres;2021;26.263,49
Castilla y León;Todos los sectores;Hombres;2020;25.549,98
Castilla y León;Todos los sectores;Hombres;2019;24.665,79
Castilla y León;Todos los sectores;Hombres;2018;24.714,04
Castilla y León;Todos los sectores;Hombres;2017;24.782,8
Castilla y León;Todos los sectores;Hombres;2016;24.445,65
Castilla y León;Todos los sectores;Hombres;2015;24.135,64
Castilla y León;Todos los sectores;Hombres;2014;22.904,8
Castilla y León;Todos los sectores;Hombres;2013;23.379
Castilla y León;Todos los sectores;Hombres;2012;23.473,82
Castilla y León;Todos los sectores;Hombres;2011;23.482,58
Castilla y León;Todos los sectores;Hombres;2010;23.640,67
Castilla y León;Todos los sectores;Hombres;2009;23.116,47
Castilla y León;Todos los sectores;Hombres;2008;22.117,28
Castilla y León;Industria;Ambos sexos;2022;29.784,21
Castilla y León;Industria;Ambos sexos;2021;27.800,83
Castilla y León;Industria;Ambos sexos;2020;27.149,21
Castilla y León;Industria;Ambos sexos;2019;27.111,54
Castilla y León;Industria;Ambos sexos;2018;27.611,92
Castilla y León;Industria;Ambos sexos;2017;26.456,71
Castilla y León;Industria;Ambos sexos;2016;25.730,42
Castilla y León;Industria;Ambos sexos;2015;25.227,09
Castilla y León;Industria;Ambos sexos;2014;25.306,2
Castilla y León;Industria;Ambos sexos;2013;24.529,85
Castilla y León;Industria;Ambos sexos;2012;24.415,06
Castilla y León;Industria;Ambos sexos;2011;24.533,37
Castilla y León;Industria;Ambos sexos;2010;23.928,77
Castilla y León;Industria;Ambos sexos;2009;23.300,36
Castilla y León;Industria;Ambos sexos;2008;22.885,95
Castilla y León;Industria;Mujeres;2022;26.723,5
Castilla y León;Industria;Mujeres;2021;24.389,1
Castilla y León;Industria;Mujeres;2020;23.611,55
Castilla y León;Industria;Mujeres;2019;23.213
Castilla y León;Industria;Mujeres;2018;23.834,97
Castilla y León;Industria;Mujeres;2017;22.358,11
Castilla y León;Industria;Mujeres;2016;22.268,77
Castilla y León;Industria;Mujeres;2015;21.280,87
Castilla y León;Industria;Mujeres;2014;21.788,61
Castilla y León;Industria;Mujeres;2013;20.212,13
Castilla y León;Industria;Mujeres;2012;20.368,8
Castilla y León;Industria;Mujeres;2011;19.436,61
Castilla y León;Industria;Mujeres;2010;18.678,09
Castilla y León;Industria;Mujeres;2009;19.153,75
Castilla y León;Industria;Mujeres;2008;17.745,08
Castilla y León;Industria;Hombres;2022;30.775,51
Castilla y León;Industria;Hombres;2021;28.764,43
Castilla y León;Industria;Hombres;2020;28.160,68
Castilla y León;Industria;Hombres;2019;28.249,61
Castilla y León;Industria;Hombres;2018;28.568,28
Castilla y León;Industria;Hombres;2017;27.531,55
Castilla y León;Industria;Hombres;2016;26.652,27
Castilla y León;Industria;Hombres;2015;26.242,74
Castilla y León;Industria;Hombres;2014;26.225,26
Castilla y León;Industria;Hombres;2013;25.629,92
Castilla y León;Industria;Hombres;2012;25.403,53
Castilla y León;Industria;Hombres;2011;25.716,21
Castilla y León;Industria;Hombres;2010;25.117,43
Castilla y León;Industria;Hombres;2009;24.234,31
Castilla y León;Industria;Hombres;2008;24.188,94
Castilla y León;Construcción;Ambos sexos;2022;-23.312,5
Castilla y León;Construcción;Ambos sexos;2021;22.932,82
Castilla y León;Construcción;Ambos sexos;2020;22.728,25
Castilla y León;Construcción;Ambos sexos;2019;21.574,94
Castilla y León;Construcción;Ambos sexos;2018;21.657,18
Castilla y León;Construcción;Ambos sexos;2017;21.815,47
Castilla y León;Construcción;Ambos sexos;2016;20.535,55
Castilla y León;Construcción;Ambos sexos;2015;20.549,86
Castilla y León;Construcción;Ambos sexos;2014;20.045,79
Castilla y León;Construcción;Ambos sexos;2013;20.691,49
Castilla y León;Construcción;Ambos sexos;2012;20.828,79
Castilla y León;Construcción;Ambos sexos;2011;20.902,34
Castilla y León;Construcción;Ambos sexos;2010;20.353,6
Castilla y León;Construcción;Ambos sexos;2009;20.133,86
Castilla y León;Construcción;Ambos sexos;2008;18.735,49
Castilla y León;Construcción;Mujeres;2022;..
Castilla y León;Construcción;Mujeres;2021;..
Castilla y León;Construcción;Mujeres;2020;..
Castilla y León;Construcción;Mujeres;2019;..
Castilla y León;Construcción;Mujeres;2018;..
Castilla y León;Construcción;Mujeres;2017;..
Castilla y León;Construcción;Mujeres;2016;..
Castilla y León;Construcción;Mujeres;2015;..
Castilla y León;Construcción;Mujeres;2014;..
Castilla y León;Construcción;Mujeres;2013;..
Castilla y León;Construcción;Mujeres;2012;..
Castilla y León;Construcción;Mujeres;2011;..
Castilla y León;Construcción;Mujeres;2010;..
Castilla y León;Construcción;Mujeres;2009;..
Castilla y León;Construcción;Mujeres;2008;..
Castilla y León;Construcción;Hombres;2022;-23.300,54
Castilla y León;Construcción;Hombres;2021;23.187,3
Castilla y León;Construcción;Hombres;2020;23.018,16
Castilla y León;Construcción;Hombres;2019;22.073,09
Castilla y León;Construcción;Hombres;2018;21.842,59
Castilla y León;Construcción;Hombres;2017;22.387,86
Castilla y León;Construcción;Hombres;2016;21.078,17
Castilla y León;Construcción;Hombres;2015;20.883,67
Castilla y León;Construcción;Hombres;2014;20.405,76
Castilla y León;Construcción;Hombres;2013;20.775,75
Castilla y León;Construcción;Hombres;2012;20.984,02
Castilla y León;Construcción;Hombres;2011;20.772,01
Castilla y León;Construcción;Hombres;2010;20.344,74
Castilla y León;Construcción;Hombres;2009;20.268,83
Castilla y León;Construcción;Hombres;2008;18.652,95
Castilla y León;Servicios;Ambos sexos;2022;22.806,39
Castilla y León;Servicios;Ambos sexos;2021;22.497,2
Castilla y León;Servicios;Ambos sexos;2020;21.866,81
Castilla y León;Servicios;Ambos sexos;2019;20.782,59
Castilla y León;Servicios;Ambos sexos;2018;20.569
Castilla y León;Servicios;Ambos sexos;2017;20.590,75
Castilla y León;Servicios;Ambos sexos;2016;20.480,54
Castilla y León;Servicios;Ambos sexos;2015;20.279,69
Castilla y León;Servicios;Ambos sexos;2014;19.311,26
Castilla y León;Servicios;Ambos sexos;2013;19.307,44
Castilla y León;Servicios;Ambos sexos;2012;19.449,15
Castilla y León;Servicios;Ambos sexos;2011;20.066,94
Castilla y León;Servicios;Ambos sexos;2010;20.211,02
Castilla y León;Servicios;Ambos sexos;2009;20.532,76
Castilla y León;Servicios;Ambos sexos;2008;19.671,26
Castilla y León;Servicios;Mujeres;2022;21.215,46
Castilla y León;Servicios;Mujeres;2021;20.451,44
Castilla y León;Servicios;Mujeres;2020;20.001,35
Castilla y León;Servicios;Mujeres;2019;19.071,24
Castilla y León;Servicios;Mujeres;2018;18.592,18
Castilla y León;Servicios;Mujeres;2017;18.482,84
Castilla y León;Servicios;Mujeres;2016;18.351,77
Castilla y León;Servicios;Mujeres;2015;18.279,72
Castilla y León;Servicios;Mujeres;2014;17.298,01
Castilla y León;Servicios;Mujeres;2013;17.137,63
Castilla y León;Servicios;Mujeres;2012;17.250,33
Castilla y León;Servicios;Mujeres;2011;17.994,53
Castilla y León;Servicios;Mujeres;2010;17.526,7
Castilla y León;Servicios;Mujeres;2009;18.139,73
Castilla y León;Servicios;Mujeres;2008;17.492,79
Castilla y León;Servicios;Hombres;2022;25.112,18
Castilla y León;Servicios;Hombres;2021;25.560,54
Castilla y León;Servicios;Hombres;2020;24.686,43
Castilla y León;Servicios;Hombres;2019;23.337,89
Castilla y León;Servicios;Hombres;2018;23.262,62
Castilla y León;Servicios;Hombres;2017;23.723,26
Castilla y León;Servicios;Hombres;2016;23.799,41
Castilla y León;Servicios;Hombres;2015;23.519,99
Castilla y León;Servicios;Hombres;2014;21.786,7
Castilla y León;Servicios;Hombres;2013;22.595,75
Castilla y León;Servicios;Hombres;2012;22.758,01
Castilla y León;Servicios;Hombres;2011;22.944,61
Castilla y León;Servicios;Hombres;2010;23.795,84
Castilla y León;Servicios;Hombres;2009;23.407,98
Castilla y León;Servicios;Hombres;2008;22.256,87
Castilla - La Mancha;Todos los sectores;Ambos sexos;2022;23.751,71
Castilla - La Mancha;Todos los sectores;Ambos sexos;2021;23.234,55
Castilla - La Mancha;Todos los sectores;Ambos sexos;2020;22.575,01
Castilla - La Mancha;Todos los sectores;Ambos sexos;2019;21.908,92
Castilla - La Mancha;Todos los sectores;Ambos sexos;2018;21.756,38
Castilla - La Mancha;Todos los sectores;Ambos sexos;2017;21.033,32
Castilla - La Mancha;Todos los sectores;Ambos sexos;2016;20.825,87
Castilla - La Mancha;Todos los sectores;Ambos sexos;2015;20.670,55
Castilla - La Mancha;Todos los sectores;Ambos sexos;2014;20.644,88
Castilla - La Mancha;Todos los sectores;Ambos sexos;2013;20.630,07
Castilla - La Mancha;Todos los sectores;Ambos sexos;2012;20.536,42
Castilla - La Mancha;Todos los sectores;Ambos sexos;2011;20.664,9
Castilla - La Mancha;Todos los sectores;Ambos sexos;2010;20.363,01
Castilla - La Mancha;Todos los sectores;Ambos sexos;2009;20.228,79
Castilla - La Mancha;Todos los sectores;Ambos sexos;2008;19.736,37
Castilla - La Mancha;Todos los sectores;Mujeres;2022;21.312,65
Castilla - La Mancha;Todos los sectores;Mujeres;2021;21.154,58
Castilla - La Mancha;Todos los sectores;Mujeres;2020;20.761,55
Castilla - La Mancha;Todos los sectores;Mujeres;2019;19.939,58
Castilla - La Mancha;Todos los sectores;Mujeres;2018;19.088,87
Castilla - La Mancha;Todos los sectores;Mujeres;2017;18.327,35
Castilla - La Mancha;Todos los sectores;Mujeres;2016;18.213,71
Castilla - La Mancha;Todos los sectores;Mujeres;2015;18.097,55
Castilla - La Mancha;Todos los sectores;Mujeres;2014;18.157,02
Castilla - La Mancha;Todos los sectores;Mujeres;2013;17.481,02
Castilla - La Mancha;Todos los sectores;Mujeres;2012;17.527,3
Castilla - La Mancha;Todos los sectores;Mujeres;2011;18.001,99
Castilla - La Mancha;Todos los sectores;Mujeres;2010;17.913
Castilla - La Mancha;Todos los sectores;Mujeres;2009;17.709,92
Castilla - La Mancha;Todos los sectores;Mujeres;2008;17.562,94
Castilla - La Mancha;Todos los sectores;Hombres;2022;25.813,23
Castilla - La Mancha;Todos los sectores;Hombres;2021;24.897,33
Castilla - La Mancha;Todos los sectores;Hombres;2020;24.029,31
Castilla - La Mancha;Todos los sectores;Hombres;2019;23.494,17
Castilla - La Mancha;Todos los sectores;Hombres;2018;23.960,1
Castilla - La Mancha;Todos los sectores;Hombres;2017;23.160,99
Castilla - La Mancha;Todos los sectores;Hombres;2016;22.871,41
Castilla - La Mancha;Todos los sectores;Hombres;2015;22.765,56
Castilla - La Mancha;Todos los sectores;Hombres;2014;22.719,35
Castilla - La Mancha;Todos los sectores;Hombres;2013;23.316,59
Castilla - La Mancha;Todos los sectores;Hombres;2012;22.810,39
Castilla - La Mancha;Todos los sectores;Hombres;2011;22.771,53
Castilla - La Mancha;Todos los sectores;Hombres;2010;22.292,84
Castilla - La Mancha;Todos los sectores;Hombres;2009;21.980,61
Castilla - La Mancha;Todos los sectores;Hombres;2008;21.141,95
Castilla - La Mancha;Industria;Ambos sexos;2022;27.295,05
Castilla - La Mancha;Industria;Ambos sexos;2021;24.979,33
Castilla - La Mancha;Industria;Ambos sexos;2020;24.621,61
Castilla - La Mancha;Industria;Ambos sexos;2019;24.526,37
Castilla - La Mancha;Industria;Ambos sexos;2018;23.324,17
Castilla - La Mancha;Industria;Ambos sexos;2017;24.119,09
Castilla - La Mancha;Industria;Ambos sexos;2016;23.607,74
Castilla - La Mancha;Industria;Ambos sexos;2015;23.358,98
Castilla - La Mancha;Industria;Ambos sexos;2014;23.081,64
Castilla - La Mancha;Industria;Ambos sexos;2013;22.840,37
Castilla - La Mancha;Industria;Ambos sexos;2012;22.391,9
Castilla - La Mancha;Industria;Ambos sexos;2011;22.055,47
Castilla - La Mancha;Industria;Ambos sexos;2010;21.700,32
Castilla - La Mancha;Industria;Ambos sexos;2009;20.938,61
Castilla - La Mancha;Industria;Ambos sexos;2008;20.015,59
Castilla - La Mancha;Industria;Mujeres;2022;24.324,87
Castilla - La Mancha;Industria;Mujeres;2021;19.585,47
Castilla - La Mancha;Industria;Mujeres;2020;19.726,8
Castilla - La Mancha;Industria;Mujeres;2019;19.370,61
Castilla - La Mancha;Industria;Mujeres;2018;17.754,73
Castilla - La Mancha;Industria;Mujeres;2017;18.604,55
Castilla - La Mancha;Industria;Mujeres;2016;18.566,64
Castilla - La Mancha;Industria;Mujeres;2015;17.369,77
Castilla - La Mancha;Industria;Mujeres;2014;17.598,25
Castilla - La Mancha;Industria;Mujeres;2013;16.380,67
Castilla - La Mancha;Industria;Mujeres;2012;17.202,64
